year,month,monthly_revenue,order_volume
2023,1,26406.039499999995,37
2023,2,18895.0635,31
2023,3,27900.890500000005,42
2023,4,28152.743000000006,40
2023,5,37304.479,54
2023,6,28813.480499999998,52
2023,7,24808.4165,35
2023,8,25861.831999999995,35
2023,9,28233.83,44
2023,10,33972.5525,50
2023,11,20641.8515,33
2023,12,24174.861999999994,39
2024,1,28145.151500000004,40
2024,2,28557.8885,40
2024,3,39925.96450000002,58
2024,4,36414.03749999999,44
2024,5,39661.0335,60
2024,6,32800.45799999999,48
2024,7,22314.8685,32
2024,8,21852.82,34
2024,9,22580.732000000007,38
2024,10,29547.216999999993,38
2024,11,36040.2205,45
2024,12,19792.597499999996,31
