customerNumber,total_spent
141,715738.98
124,584188.24
114,180585.07
151,177913.95
148,156251.03
323,154622.08
187,148410.09
276,137034.22
321,132340.78
146,130305.35
278,127529.69
353,126983.19
119,116949.68
363,116449.29
496,114497.19
458,112440.09
298,108777.92
131,107639.94
145,107446.50
398,105548.73
166,105420.57
161,104545.22
121,104224.79
334,103896.74
320,101872.52
157,98509.25
167,97562.47
311,95706.15
186,95546.46
175,95424.63
205,93803.30
282,91655.61
286,90545.37
386,90143.31
227,89909.80
259,89223.14
462,88627.49
385,87468.30
172,86553.52
406,86436.97
382,85060.00
249,82223.23
324,80556.73
239,80375.24
112,80180.98
319,78432.16
486,77726.59
448,76776.44
128,75937.76
209,75859.32
379,73533.65
181,72497.64
240,71783.75
350,71547.53
455,70378.65
202,70122.19
424,69214.33
299,69059.04
233,68977.67
216,68520.47
250,67659.19
260,66812.00
129,66710.56
412,66704.94
495,65541.74
177,62361.22
314,62253.85
171,61781.70
201,61167.18
242,60483.36
450,59551.38
256,58876.41
339,57939.34
357,56662.38
204,55577.26
333,55190.16
452,51059.99
484,50987.85
447,49967.78
189,49898.27
344,46751.14
211,45480.79
471,44920.76
475,43748.72
144,43680.65
487,42570.37
347,41506.19
328,38281.51
362,33533.47
173,32198.69
415,31310.09
489,29586.15
456,29230.43
381,29217.18
473,25358.32
103,22314.36
198,21554.26
219,7918.60
