orderNumber,customerName,status
10123,"Atelier graphique",Shipped
10298,"Atelier graphique",Shipped
10345,"Atelier graphique",Shipped
10124,"Signal Gift Stores",Shipped
10278,"Signal Gift Stores",Shipped
10346,"Signal Gift Stores",Shipped
10120,"Australian Collectors, Co.",Shipped
10125,"Australian Collectors, Co.",Shipped
10223,"Australian Collectors, Co.",Shipped
10342,"Australian Collectors, Co.",Shipped
10347,"Australian Collectors, Co.",Shipped
10275,"La Rochelle Gifts",Shipped
10315,"La Rochelle Gifts",Shipped
10375,"La Rochelle Gifts",Shipped
10425,"La Rochelle Gifts","In Process"
10103,"Baane Mini Imports",Shipped
10158,"Baane Mini Imports",Shipped
10309,"Baane Mini Imports",Shipped
10325,"Baane Mini Imports",Shipped
10113,"Mini Gifts Distributors Ltd.",Shipped
10135,"Mini Gifts Distributors Ltd.",Shipped
10142,"Mini Gifts Distributors Ltd.",Shipped
10182,"Mini Gifts Distributors Ltd.",Shipped
10229,"Mini Gifts Distributors Ltd.",Shipped
10271,"Mini Gifts Distributors Ltd.",Shipped
10282,"Mini Gifts Distributors Ltd.",Shipped
10312,"Mini Gifts Distributors Ltd.",Shipped
10335,"Mini Gifts Distributors Ltd.",Shipped
10357,"Mini Gifts Distributors Ltd.",Shipped
10368,"Mini Gifts Distributors Ltd.",Shipped
10371,"Mini Gifts Distributors Ltd.",Shipped
10382,"Mini Gifts Distributors Ltd.",Shipped
10385,"Mini Gifts Distributors Ltd.",Shipped
10390,"Mini Gifts Distributors Ltd.",Shipped
10396,"Mini Gifts Distributors Ltd.",Shipped
10421,"Mini Gifts Distributors Ltd.","In Process"
10101,"Blauer See Auto, Co.",Shipped
10230,"Blauer See Auto, Co.",Shipped
10300,"Blauer See Auto, Co.",Shipped
10323,"Blauer See Auto, Co.",Shipped
10111,"Mini Wheels Co.",Shipped
10201,"Mini Wheels Co.",Shipped
10333,"Mini Wheels Co.",Shipped
10107,"Land of Toys Inc.",Shipped
10248,"Land of Toys Inc.",Cancelled
10292,"Land of Toys Inc.",Shipped
10329,"Land of Toys Inc.",Shipped
10104,"Euro+ Shopping Channel",Shipped
10128,"Euro+ Shopping Channel",Shipped
10133,"Euro+ Shopping Channel",Shipped
10153,"Euro+ Shopping Channel",Shipped
10156,"Euro+ Shopping Channel",Shipped
10190,"Euro+ Shopping Channel",Shipped
10203,"Euro+ Shopping Channel",Shipped
10205,"Euro+ Shopping Channel",Shipped
10212,"Euro+ Shopping Channel",Shipped
10244,"Euro+ Shopping Channel",Shipped
10246,"Euro+ Shopping Channel",Shipped
10262,"Euro+ Shopping Channel",Cancelled
10279,"Euro+ Shopping Channel",Shipped
10311,"Euro+ Shopping Channel",Shipped
10350,"Euro+ Shopping Channel",Shipped
10355,"Euro+ Shopping Channel",Shipped
10358,"Euro+ Shopping Channel",Shipped
10378,"Euro+ Shopping Channel",Shipped
10379,"Euro+ Shopping Channel",Shipped
10380,"Euro+ Shopping Channel",Shipped
10383,"Euro+ Shopping Channel",Shipped
10386,"Euro+ Shopping Channel",Resolved
10394,"Euro+ Shopping Channel",Shipped
10412,"Euro+ Shopping Channel",Shipped
10417,"Euro+ Shopping Channel",Disputed
10424,"Euro+ Shopping Channel","In Process"
10112,"Volvo Model Replicas, Co",Shipped
10320,"Volvo Model Replicas, Co",Shipped
10326,"Volvo Model Replicas, Co",Shipped
10334,"Volvo Model Replicas, Co","On Hold"
10105,"Danish Wholesale Imports",Shipped
10238,"Danish Wholesale Imports",Shipped
10256,"Danish Wholesale Imports",Shipped
10327,"Danish Wholesale Imports",Resolved
10406,"Danish Wholesale Imports",Disputed
10194,"Saveley & Henriot, Co.",Shipped
10208,"Saveley & Henriot, Co.",Shipped
10227,"Saveley & Henriot, Co.",Shipped
10117,"Dragon Souveniers, Ltd.",Shipped
10150,"Dragon Souveniers, Ltd.",Shipped
10165,"Dragon Souveniers, Ltd.",Shipped
10277,"Dragon Souveniers, Ltd.",Shipped
10387,"Dragon Souveniers, Ltd.",Shipped
10127,"Muscle Machine Inc",Shipped
10204,"Muscle Machine Inc",Shipped
10267,"Muscle Machine Inc",Shipped
10349,"Muscle Machine Inc",Shipped
10272,"Diecast Classics Inc.",Shipped
10281,"Diecast Classics Inc.",Shipped
10318,"Diecast Classics Inc.",Shipped
10422,"Diecast Classics Inc.","In Process"
10140,"Technics Stores Inc.",Shipped
10168,"Technics Stores Inc.",Shipped
10317,"Technics Stores Inc.",Shipped
10362,"Technics Stores Inc.",Shipped
10217,"Handji Gifts& Co",Shipped
10259,"Handji Gifts& Co",Shipped
10288,"Handji Gifts& Co",Shipped
10409,"Handji Gifts& Co",Shipped
10181,"Herkku Gifts",Shipped
10188,"Herkku Gifts",Shipped
10289,"Herkku Gifts",Shipped
10180,"Daedalus Designs Imports",Shipped
10224,"Daedalus Designs Imports",Shipped
10114,"La Corne D'abondance, Co.",Shipped
10286,"La Corne D'abondance, Co.",Shipped
10336,"La Corne D'abondance, Co.",Shipped
10228,"Cambridge Collectables Co.",Shipped
10249,"Cambridge Collectables Co.",Shipped
10172,"Gift Depot Inc.",Shipped
10263,"Gift Depot Inc.",Shipped
10413,"Gift Depot Inc.",Shipped
10210,"Osaka Souveniers Co.",Shipped
10240,"Osaka Souveniers Co.",Shipped
10102,"Vitachrome Inc.",Shipped
10237,"Vitachrome Inc.",Shipped
10324,"Vitachrome Inc.",Shipped
10155,"Toys of Finland, Co.",Shipped
10299,"Toys of Finland, Co.",Shipped
10377,"Toys of Finland, Co.",Shipped
10110,"AV Stores, Co.",Shipped
10306,"AV Stores, Co.",Shipped
10332,"AV Stores, Co.",Shipped
