customerName,orderNumber
"Atelier graphique",10123
"Atelier graphique",10298
"Atelier graphique",10345
"Signal Gift Stores",10124
"Signal Gift Stores",10278
"Signal Gift Stores",10346
"Australian Collectors, Co.",10120
"Australian Collectors, Co.",10125
"Australian Collectors, Co.",10223
"Australian Collectors, Co.",10342
"Australian Collectors, Co.",10347
"La Rochelle Gifts",10275
"La Rochelle Gifts",10315
"La Rochelle Gifts",10375
"La Rochelle Gifts",10425
"Baane Mini Imports",10103
"Baane Mini Imports",10158
"Baane Mini Imports",10309
"Baane Mini Imports",10325
"Mini Gifts Distributors Ltd.",10113
"Mini Gifts Distributors Ltd.",10135
"Mini Gifts Distributors Ltd.",10142
"Mini Gifts Distributors Ltd.",10182
"Mini Gifts Distributors Ltd.",10229
"Mini Gifts Distributors Ltd.",10271
"Mini Gifts Distributors Ltd.",10282
"Mini Gifts Distributors Ltd.",10312
"Mini Gifts Distributors Ltd.",10335
"Mini Gifts Distributors Ltd.",10357
"Mini Gifts Distributors Ltd.",10368
"Mini Gifts Distributors Ltd.",10371
"Mini Gifts Distributors Ltd.",10382
"Mini Gifts Distributors Ltd.",10385
"Mini Gifts Distributors Ltd.",10390
"Mini Gifts Distributors Ltd.",10396
"Mini Gifts Distributors Ltd.",10421
"Havel & Zbyszek Co",NULL
"Blauer See Auto, Co.",10101
"Blauer See Auto, Co.",10230
"Blauer See Auto, Co.",10300
"Blauer See Auto, Co.",10323
"Mini Wheels Co.",10111
"Mini Wheels Co.",10201
"Mini Wheels Co.",10333
"Land of Toys Inc.",10107
"Land of Toys Inc.",10248
"Land of Toys Inc.",10292
"Land of Toys Inc.",10329
"Euro+ Shopping Channel",10104
"Euro+ Shopping Channel",10128
"Euro+ Shopping Channel",10133
"Euro+ Shopping Channel",10153
"Euro+ Shopping Channel",10156
"Euro+ Shopping Channel",10190
"Euro+ Shopping Channel",10203
"Euro+ Shopping Channel",10205
"Euro+ Shopping Channel",10212
"Euro+ Shopping Channel",10244
"Euro+ Shopping Channel",10246
"Euro+ Shopping Channel",10262
"Euro+ Shopping Channel",10279
"Euro+ Shopping Channel",10311
"Euro+ Shopping Channel",10350
"Euro+ Shopping Channel",10355
"Euro+ Shopping Channel",10358
"Euro+ Shopping Channel",10378
"Euro+ Shopping Channel",10379
"Euro+ Shopping Channel",10380
"Euro+ Shopping Channel",10383
"Euro+ Shopping Channel",10386
"Euro+ Shopping Channel",10394
"Euro+ Shopping Channel",10412
"Euro+ Shopping Channel",10417
"Euro+ Shopping Channel",10424
"Volvo Model Replicas, Co",10112
"Volvo Model Replicas, Co",10320
"Volvo Model Replicas, Co",10326
"Volvo Model Replicas, Co",10334
"Danish Wholesale Imports",10105
"Danish Wholesale Imports",10238
"Danish Wholesale Imports",10256
"Danish Wholesale Imports",10327
"Danish Wholesale Imports",10406
"Saveley & Henriot, Co.",10194
"Saveley & Henriot, Co.",10208
"Saveley & Henriot, Co.",10227
"Dragon Souveniers, Ltd.",10117
"Dragon Souveniers, Ltd.",10150
"Dragon Souveniers, Ltd.",10165
"Dragon Souveniers, Ltd.",10277
"Dragon Souveniers, Ltd.",10387
"Muscle Machine Inc",10127
"Muscle Machine Inc",10204
"Muscle Machine Inc",10267
"Muscle Machine Inc",10349
"Diecast Classics Inc.",10272
"Diecast Classics Inc.",10281
"Diecast Classics Inc.",10318
"Diecast Classics Inc.",10422
"Technics Stores Inc.",10140
"Technics Stores Inc.",10168
"Technics Stores Inc.",10317
"Technics Stores Inc.",10362
"Handji Gifts& Co",10217
"Handji Gifts& Co",10259
"Handji Gifts& Co",10288
"Handji Gifts& Co",10409
"Herkku Gifts",10181
"Herkku Gifts",10188
"Herkku Gifts",10289
"American Souvenirs Inc",NULL
"Porto Imports Co.",NULL
"Daedalus Designs Imports",10180
"Daedalus Designs Imports",10224
"La Corne D'abondance, Co.",10114
"La Corne D'abondance, Co.",10286
"La Corne D'abondance, Co.",10336
"Cambridge Collectables Co.",10228
"Cambridge Collectables Co.",10249
"Gift Depot Inc.",10172
"Gift Depot Inc.",10263
"Gift Depot Inc.",10413
"Osaka Souveniers Co.",10210
"Osaka Souveniers Co.",10240
"Vitachrome Inc.",10102
"Vitachrome Inc.",10237
"Vitachrome Inc.",10324
"Toys of Finland, Co.",10155
"Toys of Finland, Co.",10299
"Toys of Finland, Co.",10377
"AV Stores, Co.",10110
"AV Stores, Co.",10306
"AV Stores, Co.",10332
"Clover Collections, Co.",10220
"Clover Collections, Co.",10297
"Auto-Moto Classics Inc.",10130
